City,Township,County
Aliquippa,Aliquippa,Beaver
Allentown,Allentown,Lehigh
Altoona,Altoona,Blair
Arnold,Arnold,Westmoreland
Beaver Falls,Beaver Falls,Beaver
Bethlehem,Bethlehem,Lehigh
Easton,Easton,Northampton
Bradford,Bradford,McKean
Butler,Butler,Butler
Carbondale,Carbondale,Lackawanna
Chester,Chester,Delaware
Clairton,Clairton,Allegheny
Coatesville,Coatesville,Chester
Connellsville,Connellsville,Fayette
Corry,Corry,Erie
DuBois,DuBois,Clearfield
Duquesne,Duquesne,Allegheny
Easton,Easton Twp,Northampton
Erie,Erie,Erie
Farrell,Farrell,Mercer
Franklin,Franklin,Venango
Gilbertsville,Gilbertsville,Montgomery
Greensburg,Greensburg,Westmoreland
Harrisburg,Harrisburg,Dauphin
Hazleton,Hazleton,Luzerne
Hermitage,Hermitage,Mercer
Jeannette,Jeannette,Westmoreland
Johnstown,Johnstown,Cambria
Lancaster,Lancaster,Lancaster
Latrobe,Latrobe,Westmoreland
Lebanon,Lebanon,Lebanon
Lock Haven,Lock Haven,Clinton
Lower Burrell,Lower Burrell,Westmoreland
McKeesport,McKeesport,Allegheny
Meadville,Meadville,Crawford
Monessen,Monessen,Westmoreland
Monongahela,Monongahela,Washington
Nanticoke,Nanticoke,Luzerne
New Castle,New Castle,Lawrence
New Kensington,New Kensington,Westmoreland
Oil City,Oil City,Venango
Parker,Parker,Armstrong
Philadelphia,Philadelphia,Philadelphia
Pittsburgh,Pittsburgh,Allegheny
Pittston,Pittston,Luzerne
Pottsville,Pottsville,Schuylkill
Reading,Reading,Berks
St. Marys,St. Marys,Elk
Scranton,Scranton,Lackawanna
Shamokin,Shamokin,Northumberland
Sharon,Sharon,Mercer
Sunbury,Sunbury,Northumberland
Titusville,Titusville,Crawford
Uniontown,Uniontown,Fayette
Warren,Warren,Warren
Washington,Washington,Washington
Wilkes-Barre,Wilkes-Barre,Luzerne
Williamsport,Williamsport,Lycoming
York,York Twp,York
