townshipFullName,countyFullName,township,county
Abbott Township,Potter County,Abbott,Potter
Abington Township,Montgomery County,Abington,Montgomery
Adams Township,Butler County,Adams,Butler
Adams Township,Cambria County,Adams,Cambria 
Adams Township,Snyder County,Adams,Snyder
Addison Township,Somerset County,Addison,Somerset
Albany Township,Berks County,Albany,Berks
Albany Township,Bradford County,Albany,Bradford
Aleppo Township,Allegheny County,Aleppo,Allegheny
Aleppo Township,Greene County,Aleppo,Greene
Allegany Township,Potter County,Allegany,Potter
Allegheny Township,Blair County,Allegheny,Blair
Allegheny Township,Butler County,Allegheny,Butler
Allegheny Township,Cambria County,Allegheny,Cambria
Allegheny Township,Somerset County,Allegheny,Somerset
Allegheny Township,Venango County,Allegheny,Venango
Allegheny Township,Westmoreland County,Allegheny,Westmoreland
Allen Township,Northampton County,Allen,Northampton
Allison Township,Clinton County,Allison,Clinton
Alsace Township,Berks County,Alsace,Berks
Amity Township,Berks County,Amity,Berks
Amity Township,Erie County,Amity,Erie
Amwell Township,Washington County,Amwell,Washington
Annin Township,McKean County,Annin,McKean
Annville Township,Lebanon County,Annville,Lebanon
Anthony Township,Lycoming County,Anthony,Lycoming
Anthony Township,Montour County,Anthony,Montour
Antis Township,Blair County,Antis,Blair
Antrim Township,Franklin County,Antrim,Franklin
Apolacon Township,Susquehanna County,Apolacon,Susquehanna
Ararat Township,Susquehanna County,Ararat,Susquehanna
Armagh Township,Mifflin County,Armagh,Mifflin
Armenia Township,Bradford County,Armenia,Bradford
Armstrong Township,Indiana County,Armstrong,Indiana
Armstrong Township,Lycoming County,Armstrong,Lycoming
Ashland Township,Clarion County,Ashland,Clarion  
Aston Township,Delaware County,Aston,Delaware  
Asylum Township,Bradford County,Asylum,Bradford
Athens Township,Bradford County,Athens,Bradford  
Athens Township,Crawford County,Athens,Crawford  
Auburn Township,Susquehanna County,Auburn,Susquehanna  
Ayr Township,Fulton County,Ayr,Fulton
Bald Eagle Township,Clinton County,Bald Eagle,Clinton  
Baldwin Township,Allegheny County,Baldwin,Allegheny  
Banks Township,Carbon County,Banks,Carbon  
Banks Township,Indiana County,Banks,Indiana  
