countyFullName,county,township,townshipFullName
Fayette,Fayette,Belle Vernon,Belle Vernon
Allegheny,Allegheny,Bethel Park,Bethel Park
Columbia,Columbia,Bloomsburg,Bloomsburg
Union,Union,Buffalo Valley,Buffalo Valley
Cumberland,Cumberland,Carlisle,Carlisle
Franklin County,Franklin County,Chambersburg,Chambersburg
Montgomery,Montgomery,Colonial,Colonial
Lackawanna,Lackawanna,Dunmore,Dunmore
Adams,Adams,Eastern Adams,Eastern Adams
Lehigh,Lehigh,Emmaus,Emmaus
Montgomery,Montgomery,Lansdale,Lansdale
Delaware,Delaware,Lansdowne,Lansdowne
Allegheny,Allegheny,Mccandless,Mccandless
Allegheny,Allegheny,Mckeesport,Mckeesport
Allegheny,Allegheny,Monroeville,Monroeville
Allegheny,Allegheny,Mt Lebanon,Mt Lebanon
Allegheny,Allegheny,Munhall,Munhall
Westmoreland,Westmoreland,Murrysville,Murrysville
Montgomery,Montgomery,Norristown,Norristown
Berks,Berks,Northeastern Berks,Northeastern Berks
York,York,Northeastern,Northeastern
Lancaster,Lancaster,Northern Lancaster,Northern Lancaster
York,York,Northern York,Northern York
Venango,Venango,Oil,Oil
Bucks,Bucks,Pennridge,Pennridge
Chester,Chester,Phoenixville,Phoenixville
Allegheny,Allegheny,Pine-Bradfordwoods-Marshall Joint,Pine-Bradfordwoods-Marshall Joint
Monroe,Monroe,Pocono Mountain,Pocono Mountain
Lancaster,Lancaster,Southern,Southern
Mercer,Mercer,Southwest Mercer,Southwest Mercer
York,York,Springettsberry,Springettsberry
Elk,Elk,St. Mary'S,St. Mary'S
Chester,Chester,West Chester,West Chester
Armstrong,Armstrong,West Hills,West Hills
Allegheny,Allegheny,West Mifflin,West Mifflin
Chester,Chester,Westtown/East Goshen,Westtown/East Goshen
Luzerne,Luzerne,Wilkes Barre,Wilkes Barre
Allegheny,Allegheny,Wilkinsburg,Wilkinsburg
Berks,Berks,Wyomissing,Wyomissing
Delaware,Delaware,Yeadon,Yeadon
